['22:02:18', 'Загрузка процеесора: 4.4%', 'Percentage: 70.8%']
['22:02:22', 'Загрузка процеесора: 3.6%', 'Percentage: 70.6%']
['22:02:26', 'Загрузка процеесора: 3.3%', 'Percentage: 71.5%']
['22:02:30', 'Загрузка процеесора: 4.6%', 'Percentage: 72.5%']
['22:02:34', 'Загрузка процеесора: 3.8%', 'Percentage: 73.4%']
['22:02:38', 'Загрузка процеесора: 2.8%', 'Percentage: 74.3%']
['22:02:42', 'Загрузка процеесора: 4.8%', 'Percentage: 73.0%']
['22:02:46', 'Загрузка процеесора: 3.6%', 'Percentage: 72.9%']
['22:02:50', 'Загрузка процеесора: 6.8%', 'Percentage: 73.4%']
['22:02:54', 'Загрузка процеесора: 6.5%', 'Percentage: 70.5%']
['22:06:13', 'Загрузка процеесора: 4.6%', 'Percentage: 72.8%']
['22:06:18', 'Загрузка процеесора: 3.8%', 'Percentage: 73.4%']
['22:06:23', 'Загрузка процеесора: 4.6%', 'Percentage: 74.6%']
['22:06:28', 'Загрузка процеесора: 3.8%', 'Percentage: 72.5%']
['22:06:33', 'Загрузка процеесора: 3.5%', 'Percentage: 73.6%']
['22:06:38', 'Загрузка процеесора: 4.1%', 'Percentage: 74.8%']
['22:06:43', 'Загрузка процеесора: 3.3%', 'Percentage: 75.9%']
['22:06:48', 'Загрузка процеесора: 3.3%', 'Percentage: 77.1%']
['22:06:53', 'Загрузка процеесора: 4.1%', 'Percentage: 76.0%']
['22:06:58', 'Загрузка процеесора: 8.6%', 'Percentage: 71.9%']
